24,2401,Аудиокниги
24,2402,Детская литература
24,1155,Дом, быт, кулинария
24,2406,Журналы, газеты
24,1156,История, культура
24,2404,Каталоги, справочники, словари
24,1163,Компьютерная литература
24,1164,Медицина
24,2407,Научно-популярная литература
24,1159,Охота, рыбалка, пчеловодство
24,1165,Природа
24,1161,Религия, философия, эзотерика
24,1166,Рукоделие, художественное искусство
24,1168,Сельское хозяйство, животноводство
24,1158,Строительство, техника
24,1157,Театр, кино
24,1167,Увлечения, спорт
24,2408,Учебная литература
24,1162,Фотография
24,2405,Художественная литература, поэзия
24,1160,Экономика, политика, право
24,2409,Другое
361236,11,Антиквариат
361236,27,Искусство
361236,12,Монеты и денежные знаки
11,1101,Букинистика
11,1102,Живопись и графика
11,1103,Ковры, гобелены, текстиль
11,1104,Мебель
11,1105,Музыкальные инструменты
11,1106,Нумизматика
11,1107,Одежда
11,1108,Оружие
11,1109,Посуда
11,1110,Часы
11,1111,Ювелирные изделия
11,1112,Другое
27,2701,Картины
27,2702,Печатные издания
27,2704,Постеры
27,2707,Рисунки
27,2705,Скульптура
27,2706,Собственное творчество
27,2703,Фотографии
27,2708,Другое
12,1205,Бумажные деньги, Европа
12,1206,Бумажные деньги, Мир
12,1203,Монеты, Европа
12,1204,Монеты, Мир
12,1201,Монеты, древние
12,1202,Слитки
12,1207,Другое
28,2802,CD
28,2803,DVD
28,2801,Аксессуары
28,2804,Аудиокассеты
28,2805,Винил
28,2806,Другое
34,3402,DJ, освещение
34,3405,Гитары
34,3406,Губная гармоника
34,3412,Деревянные духовые
34,3401,Медные духовые инструменты
34,3410,Ноты
34,3404,Оборудование
34,3409,Профессиональное аудио
34,3411,Струнные
34,3408,Ударные
34,3407,Фортепьяно, клавишные
34,3403,Электронные
34,3413,Другое
1131,1149,Магазины и торговые центры
1131,1195,Наклейки
1131,1148,Путешествия
1131,1150,Другое
29,2901,Авиабилеты
29,2902,Аренда автомобиля
29,2905,Багаж
29,2903,Круизы
29,2904,Размещение
29,2906,Туры, путешествия
29,2907,Другое
10,1001,Бисер
10,1006,Вышивание
10,1004,Вязание
10,1013,Детское творчество
10,1024,Древесное ремесло
10,1017,Живопись
10,1003,Керамика
10,1014,Кожа
10,1019,Ленты
10,1015,Макраме
10,1007,Материалы
10,1016,Мозаика
10,1022,Обивка
10,1010,Общие расходные материалы
10,1020,Печать, резьба
10,1012,Предметы ручного изготовления
